timestamp,open,high,low,close,volume,MA_7,MA_25,MA_99,EMA_7,EMA_30,MACD,Signal_Line,RSI_6,RSI_14,trend
4/1/2018,6922,7049.98,6430,6813.01,44071.43046,7363.761429,8333.9516,10712.00081,7316.539314,8493.052166,-668.666644,-535.0182792,13.22098254,31.09665693,0
4/2/2018,6813.01,7125,6765,7056,32123.56007,7209.728571,8245.326,10646.9099,7251.404485,8400.339123,-668.9800041,-561.8106242,28.25520604,27.78506765,0
4/3/2018,7063.97,7520,7011.01,7405.21,37787.33181,7153.971429,8172.4544,10583.33283,7289.855864,8336.137244,-633.7446024,-576.1974198,35.65049978,28.5911842,0
4/4/2018,7405.21,7427.52,6707,6796.1,42227.1838,6989.228571,8093.4896,10493.50545,7166.416898,8236.780003,-647.5063292,-590.4592017,41.06695832,24.51628645,0
4/5/2018,6796.1,6902,6566.69,6770.76,39029.73146,6943.602857,7982.9772,10405.73545,7067.502674,8142.198067,-652.9307439,-602.9535101,47.55599023,25.3625932,0
4/6/2018,6770,6850,6500,6601.39,27455.01192,6909.482857,7881.7792,10329.16253,6950.974505,8042.791095,-663.2508324,-615.0129746,39.29870199,20.97255295,0
4/7/2018,6601.39,7070,6586.28,6895.8,32269.57827,6905.467143,7791.6112,10253.57566,6937.180879,7968.79167,-640.2922598,-620.0688316,52.44878522,28.82832977,0
4/8/2018,6895.81,7109.13,6880,7018,21427.67317,6934.751429,7745.5312,10198.80788,6957.385659,7907.450272,-605.2598481,-617.1070349,48.78953136,31.59370397,0
4/9/2018,7011.04,7185,6611,6782.72,34078.29721,6895.711429,7687.2008,10128.77111,6913.719244,7834.887028,-589.6840287,-611.6224337,28.61902439,32.42084561,0
4/10/2018,6781.55,6890,6656,6843.9,22326.7281,6815.524286,7630.5568,10062.7499,6896.264433,7770.952381,-565.8802496,-602.4739969,52.63279649,36.65916171,0
4/11/2018,6839.56,6990,6787,6953.79,23997.87118,6838.051429,7595.7164,9984.756768,6910.645825,7718.232228,-532.0156336,-588.3823242,59.22223454,35.86979047,0
4/12/2018,6953.78,8012.23,6743.2,7923,64861.59599,7002.657143,7585.0368,9914.084949,7163.734369,7731.443052,-422.1047733,-555.126814,86.87178114,61.46343746,0
4/13/2018,7922.99,8233.39,7732,7877.41,55044.52315,7184.945714,7556.1332,9841.538182,7342.153277,7740.860274,-334.8187743,-511.0652061,81.80127644,65.12647447,0
4/14/2018,7877.48,8186,7810,7999.01,31621.28636,7342.547143,7519.6944,9751.019192,7506.367457,7757.515095,-252.9164243,-459.4354497,81.79419867,65.50797974,0
